length_title, length_content,images,videos, keywords,onWeekend,Relevancy,positive_words,negative_words, title_subjectivity, title_sentiments,wasShared
9,455,1,0,9,No,0.155015796,0.71875,0.28125,0.288888889,0.177777778,Yes
9,81,0,0,8,No,0.053818725,0.666666667,0.333333333,0,0,NO
11,308,1,0,4,No,0.05000728,0.777777778,0.222222222,0,0,Yes
11,235,0,0,10,No,0.020062533,0.785714286,0.214285714,0.4,0.1,Yes
13,141,1,0,6,No,0.033403875,1,0,0,0,Yes
6,389,1,1,7,No,0.028725098,0.846153846,0.153846154,0,0,Yes
10,261,1,0,8,No,0.025194175,0.6,0.4,0,0,Yes
9,100,1,0,6,No,0.035572011,1,0,0.428571429,0.214285714,Yes
8,270,1,11,10,No,0.160833312,0.863636364,0.136363636,0.9,-0.6,Yes
7,105,8,0,6,No,0.033386016,0.5,0.5,0,0,Yes
10,258,11,0,9,No,0.022302777,0.714285714,0.285714286,0,0,NO
10,254,0,3,10,No,0.020000264,0.714285714,0.285714286,0.6,0.5,Yes
14,318,1,0,7,No,0.028903176,0.705882353,0.294117647,0.066666667,0.033333333,Yes
9,965,19,0,9,No,0.022246186,0.823529412,0.176470588,0,0,Yes
11,1030,20,0,7,No,0.028572062,0.865168539,0.134831461,0.642857143,0.214285714,NO
9,231,0,0,10,No,0.020023172,0.625,0.375,0,0,NO
8,935,28,0,9,No,0.022222585,0.858695652,0.141304348,0.9,0.175,Yes
10,701,1,1,7,No,0.028837813,0.717948718,0.282051282,0,0,Yes
13,328,11,1,8,No,0.157144167,0.666666667,0.333333333,0.9,0.6,Yes
13,281,10,1,7,No,0.02862891,0.846153846,0.153846154,0.7,0.633333333,Yes
12,537,1,0,6,No,0.033333696,0.615384615,0.384615385,0.7,-0.4,NO
10,259,0,0,10,No,0.020062997,0.8,0.2,0,0,Yes
12,1455,26,0,5,No,0.040000202,0.636363636,0.363636364,0,0,NO
10,1596,8,0,6,No,0.864798888,0.801886792,0.198113208,0.066666667,0.033333333,Yes
6,164,1,0,3,No,0.733330602,1,0,0,0,Yes
10,424,1,0,6,No,0.866661725,0.96875,0.03125,0.5,0.136363636,NO
8,345,1,0,4,No,0.050003336,0.5,0.5,0,0,Yes
10,138,0,1,6,No,0.033396208,0.333333333,0.666666667,0,0,NO
11,459,1,0,7,No,0.171559513,0.689655172,0.310344828,0,0,Yes
8,794,15,0,9,No,0.022255116,0.776119403,0.223880597,0.3,1,Yes
11,291,1,0,8,No,0.205469771,1,0,0,0,Yes
10,614,1,0,4,No,0.050000147,0.763157895,0.236842105,0,0,NO
7,144,1,0,10,No,0.021003827,0.555555556,0.444444444,0,0,NO
12,249,0,0,5,No,0.040812371,0.722222222,0.277777778,0.4,-0.4,Yes
7,142,0,1,6,No,0.033444275,0.909090909,0.090909091,0,0,NO
10,221,1,0,7,No,0.028573256,0.6,0.4,0.454545455,0.136363636,Yes
9,82,1,0,10,No,0.020003134,1,0,0,0,NO
11,289,13,0,10,No,0.020006093,0.6875,0.3125,0,0,NO
11,173,1,0,10,No,0.699364851,0.785714286,0.214285714,0.833333333,0.666666667,Yes
10,957,20,0,6,No,0.033336741,0.823529412,0.176470588,0,0,Yes
10,372,1,0,5,No,0.040001673,0.8125,0.1875,0.1,-0.3,Yes
8,640,1,0,9,No,0.022223195,0.757575758,0.242424242,0,0,NO
9,330,1,0,7,No,0.448525795,0.75,0.25,0.333333333,0.25,NO
8,453,9,0,10,No,0.020017817,0.8,0.2,0,0,Yes
11,1265,20,0,7,No,0.028571631,0.795081967,0.204918033,0.9,-0.6,NO
12,981,20,0,7,No,0.028584411,0.864583333,0.135416667,1,0.3,Yes
10,381,1,0,6,No,0.699938817,0.741935484,0.258064516,1,0.5,Yes
12,292,0,0,10,No,0.020073073,0.846153846,0.153846154,0,0,Yes
9,165,1,0,4,No,0.050004625,0.833333333,0.166666667,0,0,Yes
8,1020,19,0,10,No,0.020117046,0.850574713,0.149425287,0,0,Yes
9,230,1,1,7,No,0.028572825,0.5,0.5,0,0,NO
8,123,0,0,6,No,0.033942318,0.666666667,0.333333333,0,0,NO
8,258,1,0,9,No,0.022223675,0.363636364,0.636363636,0.9,-0.8,Yes
12,983,19,0,10,No,0.020089908,0.829787234,0.170212766,0.571428571,0.357142857,NO
12,180,1,0,6,No,0.274928168,0.875,0.125,0.5,0.5,NO
11,272,8,0,9,No,0.194137462,0.714285714,0.285714286,0.507070707,0.08989899,Yes
11,277,15,0,10,No,0.020422593,0.375,0.625,0,0,Yes
11,365,1,0,7,No,0.028847387,0.705882353,0.294117647,0,0,NO
14,114,0,1,9,No,0.141439205,0.545454545,0.454545455,1,0.25,Yes
11,1058,20,0,10,No,0.020044277,0.85106383,0.14893617,0.488095238,0.232142857,Yes
8,211,1,0,10,No,0.222240128,0.666666667,0.333333333,0,0,NO
12,373,0,0,8,No,0.899221341,0.666666667,0.333333333,0.383333333,-0.35,NO
7,144,1,0,8,No,0.025000106,1,0,0,0,NO
9,760,0,16,8,No,0.02503727,0.705882353,0.294117647,0,0,Yes
13,204,1,0,5,No,0.240421512,0.916666667,0.083333333,0.8,0.4,Yes
15,481,1,0,7,No,0.600621244,0.59375,0.40625,0.4,0.2,Yes
12,246,1,0,6,No,0.033340113,0.588235294,0.411764706,0,0,NO
10,182,1,1,6,No,0.033391704,0.75,0.25,0,0,Yes
10,498,1,0,9,No,0.359029637,0.84375,0.15625,0,0,Yes
7,175,1,0,7,No,0.02866955,0.888888889,0.111111111,0,0,NO
7,252,0,0,9,No,0.257171455,0.826086957,0.173913043,0.454545455,0.136363636,Yes
9,334,1,0,6,No,0.223610021,0.761904762,0.238095238,0.5,0.5,NO
10,283,0,21,6,No,0.03338604,0.458333333,0.541666667,0,0,NO
12,284,1,0,7,No,0.177670349,0.8,0.2,0.5,0.0625,NO
11,1077,20,0,5,No,0.440061638,0.805825243,0.194174757,0.9,-0.5,Yes
6,1160,19,0,10,No,0.020103044,0.784946237,0.215053763,0,0,NO
10,289,1,0,7,No,0.028835801,0.80952381,0.19047619,0,0,Yes
11,848,1,3,5,No,0.040736721,0.784313725,0.215686275,0,0,NO
12,211,0,0,6,No,0.033380763,0.692307692,0.307692308,0,0,Yes
10,951,1,0,8,No,0.025012335,0.605263158,0.394736842,0,0,Yes
11,286,0,0,8,No,0.21470819,0.588235294,0.411764706,0.2,-0.1,Yes
13,577,11,0,10,No,0.020887004,0.820512821,0.179487179,0.6,0.5,NO
7,505,6,0,6,No,0.03333376,0.958333333,0.041666667,0,0,Yes
8,255,1,0,5,No,0.839899486,0.6,0.4,0.454545455,0.136363636,NO
14,252,0,0,9,No,0.398628426,0.538461538,0.461538462,0,0,NO
9,757,1,0,7,No,0.028571955,0.795454545,0.204545455,0,0,NO
9,152,0,0,5,No,0.590879016,1,0,0.283333333,0.266666667,Yes
10,357,1,0,5,No,0.040001085,0.736842105,0.263157895,0,0,Yes
13,326,0,21,6,No,0.033386817,0.392857143,0.607142857,0.2,-0.15,Yes
8,1314,20,0,10,No,0.020033021,0.828282828,0.171717172,0.454545455,0.136363636,Yes
6,397,1,0,8,No,0.02578984,0.805555556,0.194444444,0,0,Yes
8,767,10,0,8,No,0.025435588,0.651162791,0.348837209,0,0,Yes
10,317,1,0,7,No,0.196405589,0.7,0.3,1,0,Yes
9,245,10,1,4,No,0.050138194,0.588235294,0.411764706,0.833333333,0.433333333,Yes
10,891,1,0,7,No,0.028573164,0.87755102,0.12244898,0,0,NO
7,1121,1,0,10,No,0.169328085,0.641509434,0.358490566,0,0,Yes
11,993,1,0,6,No,0.866309554,0.802816901,0.197183099,0,0,Yes
13,309,1,0,9,No,0.022244716,0.785714286,0.214285714,0.3125,0,Yes
9,174,1,0,9,No,0.022262573,0.5,0.5,0,-0.033333333,Yes
11,159,1,0,7,No,0.028582151,0.7,0.3,0,0,NO
8,449,15,0,7,No,0.028571478,0.714285714,0.285714286,0,0,Yes
13,243,0,1,7,No,0.030233499,0.714285714,0.285714286,0,0,NO
9,222,1,1,6,No,0.03430152,0.75,0.25,0.1,0,Yes
12,160,0,1,8,No,0.523671561,0.555555556,0.444444444,0,0,NO
8,1015,11,3,9,No,0.022329189,0.758064516,0.241935484,0,0,Yes
8,344,1,0,10,No,0.47954025,0.538461538,0.461538462,0,0.1,Yes
10,1028,20,0,9,No,0.022281767,0.861702128,0.138297872,0.7,0.4,Yes
11,347,0,1,7,No,0.884991446,0.965517241,0.034482759,0.5,0.136363636,NO
8,848,20,0,9,No,0.022270137,0.835294118,0.164705882,1,0.5,Yes
11,255,1,0,5,No,0.839997483,0.888888889,0.111111111,0,0,Yes
8,424,1,0,6,No,0.033340262,0.7,0.3,0.2,-0.15,Yes
8,1289,5,0,8,No,0.025102683,0.696202532,0.303797468,0,0,Yes
10,286,1,0,6,No,0.033333697,0.714285714,0.285714286,0,0,Yes
10,347,1,0,5,No,0.240520154,0.684210526,0.315789474,0,0,NO
10,280,0,11,7,No,0.028608718,0.65625,0.34375,1,0.5,Yes
8,396,1,0,10,No,0.020015709,0.772727273,0.227272727,0,0,NO
7,665,1,0,10,No,0.020000275,0.72972973,0.27027027,0,0,Yes
7,428,1,0,9,No,0.209348408,0.75862069,0.24137931,0.75,-0.75,NO
10,727,1,0,8,No,0.428842497,0.829787234,0.170212766,0.3,0,Yes
12,270,1,0,10,No,0.020040018,0.533333333,0.466666667,0,0,Yes
8,322,1,11,8,No,0.158399352,0.657142857,0.342857143,0,0,NO
7,518,1,0,7,No,0.509047364,0.833333333,0.166666667,0,0,NO
16,487,1,0,4,No,0.798645861,0.727272727,0.272727273,0,0,NO
11,264,1,0,6,No,0.03333811,0.777777778,0.222222222,0,0,Yes
11,149,1,0,8,No,0.025008077,1,0,0,0,Yes
12,62,0,1,6,No,0.033388257,0.5,0.5,0.4,-0.3,Yes
8,75,0,1,5,No,0.040082362,0.75,0.25,0.4,0.1,NO
16,143,0,1,6,No,0.865611392,0.5,0.5,0.55,-0.25,NO
7,1154,19,0,8,No,0.025036123,0.833333333,0.166666667,0.125,0,Yes
8,1303,34,0,8,No,0.025002748,0.846846847,0.153153153,0,0,NO
8,494,1,0,8,No,0.788173557,0.882352941,0.117647059,0,0,Yes
12,213,0,1,5,No,0.040080454,0.692307692,0.307692308,0.95,0.7,Yes
11,180,1,1,7,No,0.028784095,0.888888889,0.111111111,0.5,0.136363636,NO
6,106,0,1,10,No,0.020017927,1,0,0,0,NO
7,606,1,0,3,No,0.400018969,0.724137931,0.275862069,0,0,Yes
9,339,0,21,7,No,0.028617401,0.464285714,0.535714286,0.166666667,0,Yes
8,279,1,0,6,No,0.865471075,0.764705882,0.235294118,0.454545455,0.136363636,Yes
9,340,0,0,6,No,0.033385392,0.56,0.44,0,0,Yes
8,962,1,0,6,No,0.033338158,0.763888889,0.236111111,0,0,Yes
12,135,0,0,9,No,0.022243071,0.333333333,0.666666667,0,0,Yes
12,185,1,0,6,No,0.033334547,0.714285714,0.285714286,0,0,NO
12,344,1,0,6,No,0.700249948,0.611111111,0.388888889,0,0,NO
12,698,1,0,10,No,0.221909189,0.653846154,0.346153846,0,0,Yes
13,310,0,12,7,No,0.028608712,0.875,0.125,1,1,Yes
8,461,1,0,5,No,0.04000031,0.615384615,0.384615385,0.75,-0.25,Yes
9,318,0,0,10,No,0.020007163,0.764705882,0.235294118,0.3,-0.3,Yes
10,294,0,21,7,No,0.028609568,0.428571429,0.571428571,0.35,-0.2,Yes
9,930,1,0,8,No,0.733384087,0.821428571,0.178571429,0.216666667,-0.083333333,NO
10,682,1,0,7,No,0.315283189,0.5,0.5,0,0,Yes
10,349,1,0,10,No,0.126045197,0.9,0.1,0,0,Yes
5,1302,19,0,9,No,0.022335438,0.792079208,0.207920792,1,0,Yes
13,220,1,0,6,No,0.033405239,0.8,0.2,0,0,Yes
13,140,0,0,10,No,0.02004843,0.75,0.25,0.8,-0.6,Yes
12,341,1,1,10,No,0.020003111,0.909090909,0.090909091,0,0,Yes
9,537,13,0,9,No,0.02222389,0.56,0.44,1,-0.125,Yes
8,358,1,0,4,No,0.799705141,0.666666667,0.333333333,0,0,Yes
11,221,1,0,10,No,0.117643019,1,0,0.5,0.136363636,NO
10,195,1,0,5,No,0.244039103,1,0,0,0,NO
10,604,1,0,7,No,0.029076699,0.742857143,0.257142857,0.454545455,0.136363636,Yes
11,707,1,0,8,No,0.02529618,0.777777778,0.222222222,0.454545455,0.136363636,Yes
10,331,1,0,6,No,0.033333518,0.636363636,0.363636364,0,0,NO
9,529,18,0,8,No,0.025008058,0.703703704,0.296296296,0,0,Yes
6,358,1,0,8,No,0.189321754,0.689655172,0.310344828,0.333333333,0.25,Yes
11,877,1,1,8,No,0.150683853,0.658227848,0.341772152,0.475,0.375,Yes
8,270,0,0,7,No,0.028917426,0.764705882,0.235294118,0,0.1,Yes
14,233,7,0,6,No,0.033428249,0.666666667,0.333333333,0,0,Yes
8,264,0,7,9,No,0.137189432,0.8,0.2,0,0,NO
8,148,0,1,10,No,0.191457928,0.75,0.25,0.75,0.8,NO
10,315,1,0,6,No,0.033540085,0.6,0.4,0.7,-0.2,Yes
14,696,1,0,7,No,0.029381893,0.386363636,0.613636364,0.433333333,-0.166666667,NO
11,98,0,1,7,No,0.028620841,0.875,0.125,0.825,0.425,Yes
7,719,1,0,10,No,0.020266151,0.64516129,0.35483871,0,0,Yes
11,1364,28,0,10,No,0.020036053,0.824561404,0.175438596,0.821428571,0.357142857,Yes
11,1408,33,0,10,No,0.020036129,0.784615385,0.215384615,0.4,-0.4,Yes
12,324,0,11,7,No,0.028608673,0.470588235,0.529411765,0,0,Yes
11,257,1,0,9,No,0.022222941,0.736842105,0.263157895,0.2,0.1,Yes
9,328,1,0,7,No,0.310392694,0.75,0.25,0,0,Yes
10,204,1,0,6,No,0.366484427,0.266666667,0.733333333,0.8,-0.316666667,Yes
10,230,1,0,5,No,0.041019948,0.6,0.4,0.666666667,-0.5,Yes
12,996,25,0,10,No,0.020047505,0.810526316,0.189473684,0.916666667,0.516666667,Yes
13,578,19,1,8,No,0.152323852,0.838709677,0.161290323,0.9,0.4,NO
11,1175,20,0,9,No,0.022222332,0.811320755,0.188679245,0,0,Yes
11,291,1,0,7,No,0.028576766,0.789473684,0.210526316,0.5,-0.25,Yes
10,416,0,0,6,No,0.033834754,0.62962963,0.37037037,0.05,0.1,Yes
8,208,1,0,8,No,0.025000241,0.714285714,0.285714286,0,0,Yes
11,151,0,0,9,No,0.798844069,0.714285714,0.285714286,0,0,Yes
12,337,0,11,5,No,0.040080797,0.941176471,0.058823529,0.6,0.5,NO
13,178,1,0,10,No,0.020000355,0.785714286,0.214285714,0.642857143,0.214285714,NO
9,787,26,0,6,No,0.033358043,0.642857143,0.357142857,0.488095238,0.232142857,NO
6,325,0,0,9,No,0.022252454,0.727272727,0.272727273,0,0,Yes
10,476,4,0,10,No,0.02001965,0.863636364,0.136363636,0.333333333,0.25,Yes
12,470,7,0,10,No,0.020031931,0.653846154,0.346153846,0,0,Yes
8,252,1,10,10,No,0.020543133,0.95,0.05,0.4,0.1,Yes
7,203,1,0,5,Yes,0.040019216,0.615384615,0.384615385,0,0,Yes
11,351,1,0,6,Yes,0.033405239,0.782608696,0.217391304,0.7,0.4,Yes
11,566,11,0,9,Yes,0.022234192,0.685714286,0.314285714,0.5,0.4,Yes
13,297,21,0,7,Yes,0.028571858,0.666666667,0.333333333,0.5,0.5,Yes
8,104,1,0,10,Yes,0.020022788,0.875,0.125,0.75,0.5,Yes
9,1438,1,0,9,Yes,0.347205391,0.8,0.2,0,0,Yes
13,293,1,0,8,Yes,0.232248391,0.894736842,0.105263158,0.5,0.5,Yes
7,655,26,0,8,Yes,0.025054838,0.695652174,0.304347826,1,0.5,Yes
10,995,1,0,9,Yes,0.910959681,0.648648649,0.351351351,0.666666667,-0.7,Yes
14,138,0,0,9,Yes,0.751837666,0.727272727,0.272727273,0,0,Yes
13,1081,20,0,8,Yes,0.025019577,0.85106383,0.14893617,0,0,Yes
12,321,0,0,10,Yes,0.020021735,0.782608696,0.217391304,0.666666667,0.166666667,NO
10,910,20,0,10,Yes,0.020000965,0.822222222,0.177777778,0,0,Yes
13,747,1,0,8,Yes,0.02500026,0.692307692,0.307692308,0.3,1,Yes
10,1159,19,0,10,Yes,0.02004145,0.865979381,0.134020619,0.642857143,0.214285714,Yes
11,147,0,0,9,Yes,0.132797034,0.6,0.4,0.05,-0.075,Yes
12,138,0,1,8,Yes,0.240673327,0.285714286,0.714285714,0.75,-0.25,Yes
9,738,11,0,10,Yes,0.020037983,0.759259259,0.240740741,0.5,0.5,Yes
7,935,20,0,5,Yes,0.040000591,0.844444444,0.155555556,0.5,0.5,Yes
10,1036,20,1,8,Yes,0.025000527,0.854166667,0.145833333,0,0,Yes
10,996,1,0,5,Yes,0.040008719,0.608695652,0.391304348,1,1,Yes
10,331,1,0,10,Yes,0.020425564,0.882352941,0.117647059,0.5,0.3,NO
10,497,9,0,6,Yes,0.033713019,0.702702703,0.297297297,0,0,Yes
9,678,1,0,9,Yes,0.910969834,0.786885246,0.213114754,0,0,Yes
7,211,11,0,8,Yes,0.0252304,0.7,0.3,0.4,0.1,Yes
9,1821,20,0,10,Yes,0.020183389,0.810344828,0.189655172,0.9,0.6,Yes
12,190,0,0,6,Yes,0.033424004,0.8,0.2,0,0,Yes
13,174,1,2,7,Yes,0.028573149,0.904761905,0.095238095,0.5,0.3,NO
10,1245,16,2,10,Yes,0.020000972,0.737704918,0.262295082,0.5,0.35,Yes
16,83,1,0,10,Yes,0.020001101,0.666666667,0.333333333,0,0,Yes
11,400,1,0,6,Yes,0.033396047,0.764705882,0.235294118,0.75,0.25,Yes
6,279,1,10,10,Yes,0.020756242,0.769230769,0.230769231,1,0.6,Yes
9,180,7,0,6,Yes,0.033333361,0.666666667,0.333333333,0,0,Yes
12,771,6,0,10,Yes,0.020292049,0.730769231,0.269230769,0.5,0.5,Yes
12,327,1,0,8,Yes,0.026214602,0.7,0.3,0.1,0,Yes
10,536,1,0,8,Yes,0.025013011,0.829268293,0.170731707,0,0,Yes
10,713,1,0,6,Yes,0.033800301,0.790697674,0.209302326,0,0,Yes
10,456,6,0,7,Yes,0.030106199,0.739130435,0.260869565,0.85,0.7,Yes
11,416,11,0,10,Yes,0.020294049,0.857142857,0.142857143,0.65,0.35,Yes
12,1267,12,0,10,Yes,0.020312609,0.692307692,0.307692308,0.75,-0.1,Yes
